datetime,id,value
1572577200,2,0.025
1572577200,3,0.05
1572577200,5,0.053
1572577200,6,0.002
1572577200,9,0.021
1572578100,2,0.013
1572578100,3,0.049
1572578100,5,0.033
1572578100,6,0.003
1572578100,9,0.028
1572579000,2,0.015
1572579000,3,0.05
1572579000,5,0.031
1572579000,6,0.002
1572579000,9,0.049
1572579900,2,0.031
1572579900,3,0.05
1572579900,5,0.032
1572579900,6,0.002
1572579900,9,0.026
1572580800,2,0.038
1572580800,3,0.05
1572580800,5,0.025
1572580800,6,0.003
1572580800,9,0.02
1572581700,2,0.024
1572581700,3,0.049
1572581700,5,0.02
1572581700,6,0.002
1572581700,9,0.012
1572582600,2,0.041
1572582600,3,0.049
1572582600,5,0.021
1572582600,6,0.008
1572582600,9,0.067
1572583500,2,0.039
1572583500,3,0.049
1572583500,5,0.034
1572583500,6,0.028
1572583500,9,0.027
1572584400,2,0.037
1572584400,3,0.05
1572584400,5,0.045
1572584400,6,0.024
1572584400,9,0.012
1572585300,2,0.029
1572585300,3,0.049
1572585300,5,0.044
1572585300,6,0.003
1572585300,9,0.013
1572586200,2,0.018
1572586200,3,0.05
1572586200,5,0.033
1572586200,6,0.04
1572586200,9,0.061
1572587100,2,0.019
1572587100,3,0.05
1572587100,5,0.022
1572587100,6,0.045
1572587100,9,0.036
1572588000,2,0.028
1572588000,3,0.05
1572588000,5,0.021
1572588000,6,0.042
1572588000,9,0.006
1572588900,2,0.011
1572588900,3,0.05
1572588900,5,0.021
1572588900,6,0.042
1572588900,9,0.022
1572589800,2,0.02
1572589800,3,0.05
1572589800,5,0.022
1572589800,6,0.015
1572589800,9,0.043
1572590700,2,0.025
1572590700,3,0.051
1572590700,5,0.021
1572590700,6,0.003
1572590700,9,0.042
1572591600,2,0.011
1572591600,3,0.051
1572591600,5,0.021
1572591600,6,0.002
1572591600,9,0.013
1572592500,2,0.018
1572592500,3,0.05
1572592500,5,0.04
1572592500,6,0.002
1572592500,9,0.026
1572593400,2,0.024
1572593400,3,0.051
1572593400,5,0.045
1572593400,6,0.002
1572593400,9,0.155
1572594300,2,0.014
1572594300,3,0.051
1572594300,5,0.042
1572594300,6,0.002
1572594300,9,0.05
1572595200,2,0.014
1572595200,3,0.05
1572595200,5,0.03
1572595200,6,0.028
1572595200,9,0.029
1572596100,2,0.023
1572596100,3,0.051
1572596100,5,0.021
1572596100,6,0.042
1572596100,9,0.034
1572597000,2,0.017
1572597000,3,0.044
1572597000,5,0.022
1572597000,6,0.019
1572597000,9,0.014
1572597900,2,0.01
1572597900,3,0.0
1572597900,5,0.021
1572597900,6,0.002
1572597900,9,0.061
1572598800,2,0.023
1572598800,3,0.0
1572598800,5,0.021
