datetime,id,value
1593572400,2,0.017
1593572400,3,0.037
1593572400,5,0.021
1593572400,6,0.002
1593572400,9,0.033
1593573300,2,0.022
1593573300,3,0.037
1593573300,5,0.022
1593573300,6,0.002
1593573300,9,0.006
1593574200,2,0.01
1593574200,3,0.036
1593574200,5,0.002
1593574200,6,0.001
1593574200,9,0.01
1593575100,2,0.017
1593575100,3,0.037
1593575100,5,0.001
1593575100,6,0.002
1593575100,9,0.022
1593576000,2,0.021
1593576000,3,0.037
1593576000,5,0.023
1593576000,6,0.001
1593576000,9,0.0
1593576900,2,0.009
1593576900,3,0.036
1593576900,5,0.02
1593576900,6,0.002
1593576900,9,0.055
1593577800,2,0.018
1593577800,3,0.037
1593577800,5,0.002
1593577800,6,0.003
1593577800,9,0.016
1593578700,2,0.021
1593578700,3,0.037
1593578700,5,0.001
1593578700,6,0.002
1593578700,9,0.0
1593579600,2,0.008
1593579600,3,0.037
1593579600,5,0.022
1593579600,6,0.003
1593579600,9,0.026
1593580500,2,0.019
1593580500,3,0.036
1593580500,5,0.021
1593580500,6,0.001
1593580500,9,0.0
1593581400,2,0.02
1593581400,3,0.036
1593581400,5,0.002
1593581400,6,0.002
1593581400,9,0.0
1593582300,2,0.007
1593582300,3,0.037
1593582300,5,0.011
1593582300,6,0.002
1593582300,9,0.027
1593583200,2,0.02
1593583200,3,0.036
1593583200,5,0.006
1593583200,6,0.001
1593583200,9,0.0
1593584100,2,0.021
1593584100,3,0.037
1593584100,5,0.026
1593584100,6,0.002
1593584100,9,0.003
1593585000,2,0.005
1593585000,3,0.036
1593585000,5,0.002
1593585000,6,0.002
1593585000,9,0.055
1593585900,2,0.021
1593585900,3,0.036
1593585900,5,0.016
1593585900,6,0.001
1593585900,9,0.014
1593586800,2,0.019
1593586800,3,0.036
1593586800,5,0.001
1593586800,6,0.002
1593586800,9,0.013
1593587700,2,0.006
1593587700,3,0.036
1593587700,5,0.026
1593587700,6,0.001
1593587700,9,0.014
1593588600,2,0.02
1593588600,3,0.036
1593588600,5,0.011
1593588600,6,0.002
1593588600,9,0.0
1593589500,2,0.018
1593589500,3,0.036
1593589500,5,0.006
1593589500,6,0.001
1593589500,9,0.021
1593590400,2,0.008
1593590400,3,0.037
1593590400,5,0.001
1593590400,6,0.002
1593590400,9,0.006
1593591300,2,0.02
1593591300,3,0.036
1593591300,5,0.021
1593591300,6,0.001
1593591300,9,0.0
1593592200,2,0.014
1593592200,3,0.036
1593592200,5,0.02
1593592200,6,0.002
1593592200,9,0.028
1593593100,2,0.151
1593593100,3,0.037
1593593100,5,0.001
1593593100,6,0.002
1593593100,9,0.015
1593594000,2,0.195
1593594000,3,0.036
1593594000,5,0.002
1593594000,6,0.002
1593594000,9,0.03
1593594900,2,0.186
1593594900,3,0.036
1593594900,5,0.029
1593594900,6,0.003
1593594900,9,0.027
1593595800,2,0.193
1593595800,3,0.036
1593595800,5,0.014
1593595800,6,0.002
1593595800,9,0.0
1593596700,2,0.2
