datetime,id,value
1580526000,9,0.058
1580526900,9,0.14
1580527800,9,0.468
1580528700,9,0.332
1580529600,9,0.039
1580530500,9,0.088
1580531400,9,0.144
1580532300,9,0.032
1580533200,9,0.016
1580534100,6,0.041
1580534100,9,0.074
1580535000,6,0.04
1580535000,9,0.033
1580535900,6,0.04
1580535900,9,0.016
1580536800,6,0.008
1580536800,9,0.017
1580537700,6,0.017
1580537700,9,0.075
1580538600,6,0.04
1580538600,9,0.028
1580539500,6,0.041
1580539500,9,0.014
1580540400,6,0.004
1580540400,9,0.021
1580541300,6,0.004
1580541300,9,0.068
1580542200,6,0.041
1580542200,9,0.026
1580543100,6,0.04
1580543100,9,0.013
1580544000,6,0.003
1580544000,9,0.029
1580544900,6,0.002
1580544900,9,0.058
1580545800,6,0.002
1580545800,9,0.027
1580546700,6,0.002
1580546700,9,0.017
1580547600,6,0.002
1580547600,9,0.03
1580548500,6,0.002
1580548500,9,0.039
1580549400,6,0.012
1580549400,9,0.038
1580550300,6,0.063
1580550300,9,0.027
1580551200,6,0.063
1580551200,9,0.031
1580552100,6,0.058
1580552100,9,0.018
1580553000,6,0.038
1580553000,9,0.055
1580553900,6,0.027
1580553900,9,0.03
1580554800,6,0.027
1580554800,9,0.029
1580555700,2,0.057
1580555700,3,0.0
1580555700,5,0.03
1580555700,6,0.008
1580555700,9,0.012
1580556600,2,0.027
1580556600,3,0.0
1580556600,5,0.015
1580556600,6,0.037
1580556600,9,0.046
1580557500,2,0.023
1580557500,3,0.0
1580557500,5,0.016
1580557500,6,0.044
1580557500,9,0.048
1580558400,2,0.016
1580558400,3,0.0
1580558400,5,0.018
1580558400,6,0.044
1580558400,9,0.025
1580559300,2,0.018
1580559300,3,0.0
1580559300,5,0.017
1580559300,6,0.043
1580559300,9,0.011
1580560200,2,0.026
1580560200,3,0.0
1580560200,5,0.038
1580560200,6,0.043
1580560200,9,0.026
1580561100,2,0.008
1580561100,3,0.0
1580561100,5,0.049
1580561100,6,0.027
1580561100,9,0.068
1580562000,2,0.029
1580562000,3,0.0
1580562000,5,0.047
1580562000,6,0.002
1580562000,9,0.022
1580562900,2,0.015
1580562900,3,0.0
1580562900,5,0.019
1580562900,6,0.014
1580562900,9,0.012
1580563800,2,0.021
1580563800,3,0.0
1580563800,5,0.026
1580563800,6,0.042
1580563800,9,0.023
1580564700,2,0.022
1580564700,3,0.0
1580564700,5,0.026
1580564700,6,0.025
1580564700,9,0.07
1580565600,2,0.013
1580565600,3,0.0
1580565600,5,0.026
1580565600,6,0.035
1580565600,9,0.024
1580566500,2,0.03
1580566500,3,0.0
1580566500,5,0.046
1580566500,6,0.042
1580566500,9,0.013
1580567400,2,0.009
1580567400,3,0.0
1580567400,5,0.04
1580567400,6,0.043
1580567400,9,0.027
1580568300,2,0.024
1580568300,3,0.0
1580568300,5,0.038
1580568300,6,0.042
1580568300,9,0.062
1580569200,2,0.021
1580569200,3,0.0
1580569200,5,0.025
1580569200,6,0.041
1580569200,9,0.035
1580570100,2,0.036
1580570100,3,0.0
1580570100,5,0.028
1580570100,6,0.041
1580570100,9,0.021
1580571000,2,0.032
1580571000,3,0.0
1580571000,5,0.047
1580571000,6,0.001
1580571000,9,0.034
1580571900,2,0.072
1580571900,3,0.0
1580571900,5,0.083
1580571900,6,0.004
1580571900,9,0.061
1580572800,2,0.069
1580572800,3,0.0
1580572800,5,0.083
1580572800,6,0.401
1580572800,9,0.05
1580573700,2,0.065
1580573700,3,0.0
1580573700,5,0.07
1580573700,6,0.007
1580573700,9,0.038
1580574600,2,0.064
1580574600,3,0.0
1580574600,5,0.05
1580574600,6,0.003
1580574600,9,0.063
1580575500,2,0.063
1580575500,3,0.0
1580575500,5,0.038
1580575500,6,0.022
1580575500,9,0.07
1580576400,2,0.061
1580576400,3,0.0
1580576400,5,0.028
1580576400,6,0.024
1580576400,9,0.084
1580577300,2,0.038
1580577300,3,0.0
1580577300,5,0.04
1580577300,6,0.023
1580577300,9,0.062
1580578200,2,0.058
1580578200,3,0.0
1580578200,5,0.04
1580578200,6,0.045
1580578200,9,0.04
1580579100,2,0.012
1580579100,3,0.0
1580579100,5,0.058
1580579100,6,0.056
1580579100,9,0.068
1580580000,2,0.037
1580580000,3,0.0
1580580000,5,0.063
1580580000,6,0.045
1580580000,9,0.08
1580580900,2,0.014
1580580900,3,0.0
1580580900,5,0.061
1580580900,6,0.014
1580580900,9,0.037
1580581800,2,0.037
1580581800,3,0.0
1580581800,5,0.059
1580581800,6,0.014
1580581800,9,0.048
1580582700,2,0.04
1580582700,3,0.0
1580582700,5,0.029
1580582700,6,0.014
1580582700,9,0.062
1580583600,2,0.061
1580583600,3,0.0
1580583600,5,0.018
1580583600,6,0.014
1580583600,9,0.037
1580584500,2,0.038
1580584500,3,0.0
1580584500,5,0.015
1580584500,6,0.014
1580584500,9,0.041
1580585400,2,0.063
1580585400,3,0.0
1580585400,5,0.022
1580585400,6,0.015
1580585400,9,0.029
1580586300,2,0.055
1580586300,3,0.0
1580586300,5,0.031
1580586300,6,0.014
1580586300,9,0.062
1580587200,2,0.045
1580587200,3,0.0
1580587200,5,0.029
1580587200,6,0.014
1580587200,9,0.058
1580588100,2,0.06
1580588100,3,0.0
1580588100,5,0.033
1580588100,6,0.014
1580588100,9,0.022
1580589000,2,0.04
1580589000,3,0.0
1580589000,5,0.016
1580589000,6,0.014
1580589000,9,0.03
1580589900,2,0.059
1580589900,3,0.0
1580589900,5,0.015
1580589900,6,0.036
1580589900,9,0.106
1580590800,2,0.011
1580590800,3,0.0
1580590800,5,0.752
1580590800,6,0.057
1580590800,9,0.045
1580591700,2,0.038
1580591700,3,0.0
1580591700,5,0.385
1580591700,6,0.051
1580591700,9,0.09
1580592600,2,0.017
1580592600,3,0.0
1580592600,5,0.036
1580592600,6,0.015
1580592600,9,0.076
1580593500,2,0.031
1580593500,3,0.0
1580593500,5,0.031
1580593500,6,0.043
1580593500,9,0.114
1580594400,2,0.025
1580594400,3,0.0
1580594400,5,0.03
1580594400,6,0.048
1580594400,9,0.093
1580595300,2,0.058
1580595300,3,0.0
1580595300,5,0.017
1580595300,6,0.055
1580595300,9,0.064
1580596200,2,0.063
1580596200,3,0.0
1580596200,5,0.008
1580596200,6,0.226
1580596200,9,0.097
1580597100,2,0.02
1580597100,3,0.0
1580597100,5,0.071
1580597100,6,0.061
1580597100,9,0.069
1580598000,2,0.048
1580598000,3,0.0
1580598000,5,0.035
1580598000,6,0.079
1580598000,9,0.069
1580598900,2,0.021
1580598900,3,0.023
1580598900,5,0.042
1580598900,6,0.085
1580598900,9,0.045
1580599800,2,0.047
1580599800,3,0.046
1580599800,5,0.068
1580599800,6,0.063
1580599800,9,0.091
1580600700,2,0.021
1580600700,3,0.047
1580600700,5,0.095
1580600700,6,0.062
1580600700,9,0.066
1580601600,2,0.046
1580601600,3,0.047
1580601600,5,0.101
1580601600,6,0.05
1580601600,9,0.105
1580602500,2,0.023
1580602500,3,0.047
1580602500,5,0.176
1580602500,6,0.037
1580602500,9,0.036
1580603400,2,0.041
1580603400,3,0.047
1580603400,5,0.922
1580603400,6,0.068
1580603400,9,0.076
1580604300,2,0.029
1580604300,3,0.047
1580604300,5,0.357
1580604300,6,0.066
1580604300,9,0.048
1580605200,2,0.034
1580605200,3,0.047
1580605200,5,0.096
1580605200,6,0.063
1580605200,9,0.026
1580606100,2,0.034
1580606100,3,0.048
1580606100,5,0.085
1580606100,6,0.061
1580606100,9,0.023
1580607000,2,0.029
1580607000,3,0.048
1580607000,5,0.071
1580607000,6,0.052
1580607000,9,0.083
1580607900,2,0.04
1580607900,3,0.047
1580607900,5,0.073
1580607900,6,0.05
1580607900,9,0.038
1580608800,2,0.022
1580608800,3,0.048
1580608800,5,0.076
1580608800,6,0.011
1580608800,9,0.026
1580609700,2,0.047
1580609700,3,0.048
1580609700,5,0.11
1580609700,6,0.034
1580609700,9,0.043
1580610600,2,0.019
1580610600,3,0.048
1580610600,5,0.08
1580610600,6,0.042
1580610600,9,0.074
1580611500,2,0.037
1580611500,3,0.047
1580611500,5,0.063
1580611500,6,0.011
1580611500,9,0.036
1580612400,2,0.015
1580612400,3,0.048
1580612400,5,0.04
1580612400,6,0.011
1580612400,9,0.022
1580613300,2,0.03
1580613300,3,0.048
1580613300,5,0.04
1580613300,6,0.046
1580613300,9,0.033
1580614200,2,0.014
1580614200,3,0.048
1580614200,5,0.067
1580614200,6,0.032
1580614200,9,0.066
1580615100,2,0.032
1580615100,3,0.048
1580615100,5,0.063
1580615100,6,0.01
1580615100,9,0.035
1580616000,2,0.038
1580616000,3,0.048
1580616000,5,0.076
1580616000,6,0.011
1580616000,9,0.019
1580616900,2,0.021
1580616900,3,0.048
1580616900,5,0.072
1580616900,6,0.011
1580616900,9,0.042
1580617800,2,0.043
1580617800,3,0.049
1580617800,5,0.049
1580617800,6,0.01
1580617800,9,0.061
1580618700,2,0.04
1580618700,3,0.048
1580618700,5,0.041
1580618700,6,0.01
1580618700,9,0.03
1580619600,2,0.038
1580619600,3,0.049
1580619600,5,0.041
1580619600,6,0.024
1580619600,9,0.018
1580620500,2,0.036
1580620500,3,0.048
1580620500,5,0.043
1580620500,6,0.043
1580620500,9,0.088
1580621400,2,0.036
1580621400,3,0.048
1580621400,5,0.055
1580621400,6,0.037
1580621400,9,0.041
1580622300,2,0.028
1580622300,3,0.049
1580622300,5,0.055
1580622300,6,0.002
1580622300,9,0.034
1580623200,2,0.017
1580623200,3,0.048
1580623200,5,0.045
1580623200,6,0.002
1580623200,9,0.029
1580624100,2,0.036
1580624100,3,0.048
1580624100,5,0.017
1580624100,6,0.003
1580624100,9,0.04
1580625000,2,0.01
1580625000,3,0.049
1580625000,5,0.018
1580625000,6,0.002
1580625000,9,0.04
1580625900,2,0.036
1580625900,3,0.048
1580625900,5,0.016
1580625900,6,0.002
1580625900,9,0.033
1580626800,2,0.01
1580626800,3,0.049
1580626800,5,0.038
1580626800,6,0.002
1580626800,9,0.021
1580627700,2,0.035
1580627700,3,0.049
1580627700,5,0.039
1580627700,6,0.002
1580627700,9,0.038
1580628600,2,0.009
1580628600,3,0.048
1580628600,5,0.038
1580628600,6,0.029
1580628600,9,0.05
1580629500,2,0.036
1580629500,3,0.049
1580629500,5,0.017
1580629500,6,0.043
1580629500,9,0.025
1580630400,2,0.009
1580630400,3,0.048
1580630400,5,0.018
1580630400,6,0.029
1580630400,9,0.012
1580631300,2,0.033
1580631300,3,0.049
1580631300,5,0.017
1580631300,6,0.002
1580631300,9,0.051
1580632200,2,0.012
1580632200,3,0.048
1580632200,5,0.018
1580632200,6,0.002
1580632200,9,0.05
1580633100,2,0.028
1580633100,3,0.049
1580633100,5,0.041
1580633100,6,0.002
1580633100,9,0.014
1580634000,2,0.017
1580634000,3,0.022
1580634000,5,0.04
1580634000,6,0.002
1580634000,9,0.017
1580634900,2,0.023
1580634900,3,0.0
1580634900,5,0.029
1580634900,6,0.002
1580634900,9,0.048
1580635800,2,0.022
1580635800,3,0.0
1580635800,5,0.018
1580635800,6,0.002
1580635800,9,0.048
1580636700,2,0.016
1580636700,3,0.0
1580636700,5,0.018
1580636700,6,0.003
1580636700,9,0.009
1580637600,2,0.029
1580637600,3,0.0
1580637600,5,0.015
1580637600,6,0.039
1580637600,9,0.031
1580638500,2,0.009
1580638500,3,0.0
1580638500,5,0.025
1580638500,6,0.062
1580638500,9,0.036
1580639400,2,0.034
1580639400,3,0.0
1580639400,5,0.042
1580639400,6,0.062
1580639400,9,0.044
1580640300,2,0.057
1580640300,3,0.0
1580640300,5,0.044
1580640300,6,0.053
1580640300,9,0.025
1580641200,2,0.036
1580641200,3,0.0
1580641200,5,0.025
1580641200,6,0.009
1580641200,9,0.03
1580642100,2,0.02
1580642100,3,0.0
1580642100,5,0.017
1580642100,6,0.028
1580642100,9,0.012
1580643000,2,0.046
1580643000,3,0.0
1580643000,5,0.015
1580643000,6,0.042
1580643000,9,0.063
1580643900,2,0.01
1580643900,3,0.0
1580643900,5,0.016
1580643900,6,0.005
1580643900,9,0.034
1580644800,2,0.038
1580644800,3,0.0
1580644800,5,0.031
1580644800,6,0.002
1580644800,9,0.019
1580645700,2,0.01
1580645700,3,0.0
1580645700,5,0.042
1580645700,6,0.099
1580645700,9,0.013
1580646600,2,0.038
1580646600,3,0.0
1580646600,5,0.04
1580646600,6,0.007
1580646600,9,0.079
1580647500,2,0.01
1580647500,3,0.0
1580647500,5,0.036
1580647500,6,0.002
1580647500,9,0.027
1580648400,2,0.037
1580648400,3,0.0
1580648400,5,0.022
1580648400,6,0.002
1580648400,9,0.021
1580649300,2,0.013
1580649300,3,0.0
1580649300,5,0.016
1580649300,6,0.005
1580649300,9,0.05
1580650200,2,0.064
1580650200,3,0.0
1580650200,5,0.017
1580650200,6,0.045
1580650200,9,0.051
1580651100,2,0.041
1580651100,3,0.0
1580651100,5,0.04
1580651100,6,0.044
1580651100,9,0.037
1580652000,2,0.066
1580652000,3,0.0
1580652000,5,0.046
1580652000,6,0.043
1580652000,9,0.035
1580652900,2,0.048
1580652900,3,0.0
1580652900,5,0.06
1580652900,6,0.026
1580652900,9,0.033
1580653800,2,0.056
1580653800,3,0.0
1580653800,5,0.556
1580653800,6,0.002
1580653800,9,0.063
1580654700,2,0.049
1580654700,3,0.0
1580654700,5,0.062
1580654700,6,0.002
1580654700,9,0.065
