datetime,id,value
1577847600,2,0.01
1577847600,3,0.049
1577847600,5,0.058
1577847600,6,0.042
1577847600,9,0.045
1577848500,2,0.028
1577848500,3,0.049
1577848500,5,0.064
1577848500,6,0.003
1577848500,9,0.045
1577849400,2,0.068
1577849400,3,0.049
1577849400,5,0.111
1577849400,6,0.001
1577849400,9,0.004
1577850300,2,0.2
1577850300,3,0.049
1577850300,5,0.109
1577850300,6,0.001
1577850300,9,0.041
1577851200,2,0.202
1577851200,3,0.049
1577851200,5,0.092
1577851200,6,0.001
1577851200,9,0.018
1577852100,2,0.182
1577852100,3,0.049
1577852100,5,0.093
1577852100,6,0.001
1577852100,9,0.013
1577853000,2,0.034
1577853000,3,0.049
1577853000,5,0.071
1577853000,6,0.032
1577853000,9,0.045
1577853900,2,0.031
1577853900,3,0.05
1577853900,5,0.064
1577853900,6,0.042
1577853900,9,0.004
1577854800,2,0.036
1577854800,3,0.049
1577854800,5,0.063
1577854800,6,0.038
1577854800,9,0.039
1577855700,2,0.025
1577855700,3,0.05
1577855700,5,0.062
1577855700,6,0.001
1577855700,9,0.052
1577856600,2,0.042
1577856600,3,0.049
1577856600,5,0.247
1577856600,6,0.001
1577856600,9,0.063
1577857500,2,0.049
1577857500,3,0.05
1577857500,5,0.168
1577857500,6,0.001
1577857500,9,0.068
1577858400,2,0.033
1577858400,3,0.049
1577858400,5,0.055
1577858400,6,0.001
1577858400,9,0.024
1577859300,2,0.054
1577859300,3,0.049
1577859300,5,0.061
1577859300,6,0.001
1577859300,9,0.096
1577860200,2,0.051
1577860200,3,0.05
1577860200,5,0.064
1577860200,6,0.001
1577860200,9,0.054
1577861100,2,0.049
1577861100,3,0.049
1577861100,5,0.041
1577861100,6,0.001
1577861100,9,0.057
1577862000,2,0.047
1577862000,3,0.049
1577862000,5,0.064
1577862000,6,0.001
1577862000,9,0.09
1577862900,2,0.041
1577862900,3,0.05
1577862900,5,0.053
1577862900,6,0.001
1577862900,9,0.017
1577863800,2,0.026
1577863800,3,0.049
1577863800,5,0.045
1577863800,6,0.02
1577863800,9,0.048
1577864700,2,0.047
1577864700,3,0.05
1577864700,5,0.062
1577864700,6,0.043
1577864700,9,0.049
1577865600,2,0.021
1577865600,3,0.049
1577865600,5,0.051
1577865600,6,0.042
1577865600,9,0.01
1577866500,2,0.047
1577866500,3,0.05
1577866500,5,0.061
1577866500,6,0.035
1577866500,9,0.075
1577867400,2,0.02
1577867400,3,0.046
1577867400,5,0.039
1577867400,6,0.001
1577867400,9,0.007
1577868300,2,0.044
1577868300,3,0.015
1577868300,5,0.05
1577868300,6,0.001
1577868300,9,0.043
1577869200,2,0.023
1577869200,3,0.0
1577869200,5,0.045
1577869200,6,0.001
1577869200,9,0.041
1577870100,2,0.039
1577870100,3,0.0
1577870100,5,0.03
1577870100,6,0.001
1577870100,9,0.036
1577871000,2,0.028
1577871000,3,0.0
1577871000,5,0.058
1577871000,6,0.001
1577871000,9,0.029
1577871900,2,0.032
1577871900,3,0.0
1577871900,5,0.026
1577871900,6,0.001
1577871900,9,0.05
1577872800,2,0.031
1577872800,3,0.0
1577872800,5,0.048
1577872800,6,0.001
1577872800,9,0.008
1577873700,2,0.143
1577873700,3,0.001
1577873700,5,0.037
1577873700,6,0.002
1577873700,9,0.061
1577874600,2,0.231
1577874600,3,0.0
1577874600,5,0.041
1577874600,6,0.027
1577874600,9,0.023
1577875500,2,0.211
1577875500,3,0.001
1577875500,5,0.041
1577875500,6,0.052
1577875500,9,0.017
1577876400,2,0.232
1577876400,3,0.0
1577876400,5,0.046
1577876400,6,0.043
1577876400,9,0.069
1577877300,2,0.221
1577877300,3,0.0
1577877300,5,0.033
1577877300,6,0.043
1577877300,9,0.0
1577878200,2,0.196
1577878200,3,0.0
1577878200,5,0.046
1577878200,6,0.043
1577878200,9,0.057
1577879100,2,0.195
1577879100,3,0.0
1577879100,5,0.043
1577879100,6,0.041
1577879100,9,0.027
1577880000,2,0.09
1577880000,3,0.0
1577880000,5,0.029
1577880000,6,0.033
1577880000,9,0.006
1577880900,2,0.03
1577880900,3,0.0
1577880900,5,0.058
1577880900,6,0.014
1577880900,9,0.079
1577881800,2,0.01
1577881800,3,0.0
1577881800,5,0.018
1577881800,6,0.039
1577881800,9,0.002
1577882700,2,0.022
1577882700,3,0.0
1577882700,5,0.058
1577882700,6,0.001
1577882700,9,0.043
1577883600,2,0.021
1577883600,3,0.0
1577883600,5,0.03
1577883600,6,0.037
1577883600,9,0.04
1577884500,2,0.012
1577884500,3,0.0
1577884500,5,0.059
1577884500,6,0.014
1577884500,9,0.009
1577885400,2,0.029
1577885400,3,0.0
1577885400,5,0.062
1577885400,6,0.009
1577885400,9,0.069
1577886300,2,0.011
1577886300,3,0.0
1577886300,5,0.067
1577886300,6,0.041
1577886300,9,0.004
1577887200,2,0.021
1577887200,3,0.0
1577887200,5,0.274
1577887200,6,0.003
1577887200,9,0.035
1577888100,2,0.022
1577888100,3,0.0
1577888100,5,0.043
1577888100,6,0.004
1577888100,9,0.048
1577889000,2,0.011
1577889000,3,0.0
1577889000,5,0.052
1577889000,6,0.042
1577889000,9,0.0
1577889900,2,0.029
1577889900,3,0.0
1577889900,5,0.025
1577889900,6,0.008
1577889900,9,0.063
1577890800,2,0.012
1577890800,3,0.0
1577890800,5,0.054
1577890800,6,0.001
1577890800,9,0.021
1577891700,2,0.022
1577891700,3,0.0
1577891700,5,0.018
1577891700,6,0.002
1577891700,9,0.023
1577892600,2,0.023
1577892600,3,0.0
1577892600,5,0.028
1577892600,6,0.001
1577892600,9,0.05
1577893500,2,0.01
1577893500,3,0.0
1577893500,5,0.039
1577893500,6,0.021
1577893500,9,0.01
1577894400,2,0.031
1577894400,3,0.0
1577894400,5,0.011
1577894400,6,0.042
1577894400,9,0.048
1577895300,2,0.011
1577895300,3,0.0
1577895300,5,0.044
1577895300,6,0.029
1577895300,9,0.035
1577896200,2,0.022
1577896200,3,0.0
1577896200,5,0.015
1577896200,6,0.027
1577896200,9,0.018
1577897100,2,0.022
1577897100,3,0.0
1577897100,5,0.029
1577897100,6,0.017
1577897100,9,0.032
1577898000,2,0.012
1577898000,3,0.0
1577898000,5,0.029
1577898000,6,0.034
1577898000,9,0.04
1577898900,2,0.03
1577898900,3,0.0
1577898900,5,0.029
1577898900,6,0.056
1577898900,9,0.04
1577899800,2,0.011
1577899800,3,0.0
1577899800,5,0.021
1577899800,6,0.053
1577899800,9,0.011
1577900700,2,0.022
1577900700,3,0.0
1577900700,5,0.039
1577900700,6,0.052
1577900700,9,0.046
1577901600,2,0.022
1577901600,3,0.0
1577901600,5,0.021
1577901600,6,0.052
1577901600,9,0.039
1577902500,2,0.098
1577902500,3,0.0
1577902500,5,0.024
1577902500,6,0.051
1577902500,9,0.01
1577903400,2,0.189
1577903400,3,0.0
1577903400,5,0.043
1577903400,6,0.051
1577903400,9,0.063
1577904300,2,0.01
1577904300,3,0.0
1577904300,5,0.005
1577904300,6,0.05
1577904300,9,0.014
1577905200,2,0.024
1577905200,3,0.0
1577905200,5,0.045
1577905200,6,0.022
1577905200,9,0.02
1577906100,2,0.02
1577906100,3,0.0
1577906100,5,0.021
1577906100,6,0.051
1577906100,9,0.068
1577907000,2,0.015
1577907000,3,0.0
1577907000,5,0.038
1577907000,6,0.042
1577907000,9,0.0
1577907900,2,0.029
1577907900,3,0.0
1577907900,5,0.065
1577907900,6,0.064
1577907900,9,0.052
1577908800,2,0.01
1577908800,3,0.0
1577908800,5,0.042
1577908800,6,0.05
1577908800,9,0.036
1577909700,2,0.037
1577909700,3,0.0
1577909700,5,0.024
1577909700,6,0.052
1577909700,9,0.0
1577910600,2,0.031
1577910600,3,0.0
1577910600,5,0.062
1577910600,6,0.052
1577910600,9,0.078
1577911500,2,0.031
1577911500,3,0.0
1577911500,5,0.031
1577911500,6,0.012
1577911500,9,0.01
1577912400,2,0.041
1577912400,3,0.0
1577912400,5,0.031
1577912400,6,0.011
1577912400,9,0.022
1577913300,2,0.037
1577913300,3,0.0
1577913300,5,0.049
1577913300,6,0.01
1577913300,9,0.06
1577914200,2,0.036
1577914200,3,0.0
1577914200,5,0.028
1577914200,6,0.011
1577914200,9,0.007
1577915100,2,0.035
1577915100,3,0.0
1577915100,5,0.016
1577915100,6,0.011
1577915100,9,0.047
1577916000,2,0.01
1577916000,3,0.0
1577916000,5,0.045
1577916000,6,0.039
1577916000,9,0.037
1577916900,2,0.035
1577916900,3,0.0
1577916900,5,0.009
1577916900,6,0.053
1577916900,9,0.019
1577917800,2,0.014
1577917800,3,0.0
1577917800,5,0.041
1577917800,6,0.051
1577917800,9,0.034
1577918700,2,0.031
1577918700,3,0.0
1577918700,5,0.038
1577918700,6,0.047
1577918700,9,0.037
1577919600,2,0.012
1577919600,3,0.0
1577919600,5,0.044
1577919600,6,0.054
1577919600,9,0.04
1577920500,2,0.033
1577920500,3,0.016
1577920500,5,0.073
1577920500,6,0.076
1577920500,9,0.015
1577921400,2,0.009
1577921400,3,0.048
1577921400,5,0.086
1577921400,6,0.038
1577921400,9,0.07
1577922300,2,0.032
1577922300,3,0.049
1577922300,5,0.073
1577922300,6,0.025
1577922300,9,0.053
1577923200,2,0.012
1577923200,3,0.048
1577923200,5,0.091
1577923200,6,0.014
1577923200,9,0.018
1577924100,2,0.026
1577924100,3,0.049
1577924100,5,0.059
1577924100,6,0.051
1577924100,9,0.094
1577925000,2,0.019
1577925000,3,0.049
1577925000,5,0.525
1577925000,6,0.063
1577925000,9,0.031
1577925900,2,0.021
1577925900,3,0.049
1577925900,5,0.599
1577925900,6,0.052
1577925900,9,0.048
1577926800,2,0.055
1577926800,3,0.049
1577926800,5,0.101
1577926800,6,0.024
1577926800,9,0.069
1577927700,2,0.045
1577927700,3,0.048
1577927700,5,0.09
1577927700,6,0.012
1577927700,9,0.049
1577928600,2,0.23
1577928600,3,0.049
1577928600,5,0.072
1577928600,6,0.006
1577928600,9,0.052
1577929500,2,0.099
1577929500,3,0.048
1577929500,5,0.063
1577929500,6,0.004
1577929500,9,0.036
1577930400,2,0.058
1577930400,3,0.049
1577930400,5,0.068
1577930400,6,0.007
1577930400,9,0.074
1577931300,2,0.048
1577931300,3,0.049
1577931300,5,0.072
1577931300,6,0.005
1577931300,9,0.028
1577932200,2,0.059
1577932200,3,0.049
1577932200,5,0.073
1577932200,6,0.003
1577932200,9,0.021
1577933100,2,0.059
1577933100,3,0.049
1577933100,5,0.035
1577933100,6,0.004
1577933100,9,0.075
1577934000,2,0.051
1577934000,3,0.049
1577934000,5,0.056
1577934000,6,0.003
1577934000,9,0.0
1577934900,2,0.066
1577934900,3,0.05
1577934900,5,0.012
1577934900,6,0.007
1577934900,9,0.025
1577935800,2,0.042
1577935800,3,0.049
1577935800,5,0.033
1577935800,6,0.004
1577935800,9,0.062
1577936700,2,0.056
1577936700,3,0.049
1577936700,5,0.034
1577936700,6,0.004
1577936700,9,0.0
1577937600,2,0.044
1577937600,3,0.049
1577937600,5,0.027
1577937600,6,0.003
1577937600,9,0.046
1577938500,2,0.047
1577938500,3,0.049
1577938500,5,0.043
1577938500,6,0.004
1577938500,9,0.037
1577939400,2,0.032
1577939400,3,0.05
1577939400,5,0.016
1577939400,6,0.003
1577939400,9,0.013
1577940300,2,0.009
1577940300,3,0.049
1577940300,5,0.029
1577940300,6,0.035
1577940300,9,0.036
1577941200,2,0.029
1577941200,3,0.049
1577941200,5,0.025
1577941200,6,0.044
1577941200,9,0.026
1577942100,2,0.014
1577942100,3,0.049
1577942100,5,0.035
1577942100,6,0.029
1577942100,9,0.043
1577943000,2,0.02
1577943000,3,0.049
1577943000,5,0.018
1577943000,6,0.028
1577943000,9,0.017
1577943900,2,0.024
1577943900,3,0.049
1577943900,5,0.038
1577943900,6,0.01
1577943900,9,0.015
1577944800,2,0.009
1577944800,3,0.049
1577944800,5,0.026
1577944800,6,0.021
1577944800,9,0.07
1577945700,2,0.029
1577945700,3,0.049
1577945700,5,0.012
1577945700,6,0.047
1577945700,9,0.001
1577946600,2,0.015
1577946600,3,0.049
1577946600,5,0.05
1577946600,6,0.046
1577946600,9,0.007
1577947500,2,0.017
1577947500,3,0.049
1577947500,5,0.005
1577947500,6,0.045
1577947500,9,0.079
1577948400,2,0.026
1577948400,3,0.048
1577948400,5,0.039
1577948400,6,0.018
1577948400,9,0.0
1577949300,2,0.009
1577949300,3,0.049
1577949300,5,0.042
1577949300,6,0.003
1577949300,9,0.019
1577950200,2,0.029
1577950200,3,0.05
1577950200,5,0.01
1577950200,6,0.003
1577950200,9,0.062
1577951100,2,0.013
1577951100,3,0.049
1577951100,5,0.031
1577951100,6,0.003
1577951100,9,0.004
1577952000,2,0.02
1577952000,3,0.05
1577952000,5,0.024
1577952000,6,0.004
1577952000,9,0.033
1577952900,2,0.025
1577952900,3,0.049
1577952900,5,0.029
1577952900,6,0.003
1577952900,9,0.033
1577953800,2,0.008
1577953800,3,0.039
1577953800,5,0.01
1577953800,6,0.003
1577953800,9,0.019
1577954700,2,0.026
1577954700,3,0.0
1577954700,5,0.045
1577954700,6,0.003
1577954700,9,0.044
1577955600,2,0.025
1577955600,3,0.0
1577955600,5,0.01
1577955600,6,0.004
1577955600,9,0.017
1577956500,2,0.019
1577956500,3,0.0
1577956500,5,0.027
1577956500,6,0.012
1577956500,9,0.038
1577957400,2,0.028
1577957400,3,0.0
