datetime,id,value
1583031600,2,0.045
1583031600,3,0.048
1583031600,5,0.078
1583031600,6,0.001
1583031600,9,0.056
1583032500,2,0.027
1583032500,3,0.049
1583032500,5,0.084
1583032500,6,0.001
1583032500,9,0.099
1583033400,2,0.033
1583033400,3,0.048
1583033400,5,0.093
1583033400,6,0.023
1583033400,9,0.013
1583034300,2,0.018
1583034300,3,0.049
1583034300,5,0.058
1583034300,6,0.043
1583034300,9,0.0
1583035200,2,0.028
1583035200,3,0.048
1583035200,5,0.065
1583035200,6,0.043
1583035200,9,0.025
1583036100,2,0.018
1583036100,3,0.049
1583036100,5,0.066
1583036100,6,0.033
1583036100,9,0.062
1583037000,2,0.028
1583037000,3,0.048
1583037000,5,0.037
1583037000,6,0.001
1583037000,9,0.014
1583037900,2,0.017
1583037900,3,0.048
1583037900,5,0.018
1583037900,6,0.001
1583037900,9,0.026
1583038800,2,0.029
1583038800,3,0.049
1583038800,5,0.028
1583038800,6,0.001
1583038800,9,0.023
1583039700,2,0.015
1583039700,3,0.047
1583039700,5,0.024
1583039700,6,0.001
1583039700,9,0.021
1583040600,2,0.031
1583040600,3,0.048
1583040600,5,0.035
1583040600,6,0.002
1583040600,9,0.059
1583041500,2,0.012
1583041500,3,0.049
1583041500,5,0.034
1583041500,6,0.001
1583041500,9,0.018
1583042400,2,0.034
1583042400,3,0.048
1583042400,5,0.004
1583042400,6,0.001
1583042400,9,0.0
1583043300,2,0.01
1583043300,3,0.048
1583043300,5,0.043
1583043300,6,0.001
1583043300,9,0.032
1583044200,2,0.036
1583044200,3,0.049
1583044200,5,0.036
1583044200,6,0.012
1583044200,9,0.063
1583045100,2,0.01
1583045100,3,0.048
1583045100,5,0.002
1583045100,6,0.029
1583045100,9,0.0
1583046000,2,0.033
1583046000,3,0.048
1583046000,5,0.033
1583046000,6,0.027
1583046000,9,0.032
1583046900,2,0.013
1583046900,3,0.048
1583046900,5,0.041
1583046900,6,0.012
1583046900,9,0.015
1583047800,2,0.028
1583047800,3,0.049
1583047800,5,0.007
1583047800,6,0.013
1583047800,9,0.029
1583048700,2,0.018
1583048700,3,0.048
1583048700,5,0.028
1583048700,6,0.046
1583048700,9,0.052
1583049600,2,0.022
1583049600,3,0.048
1583049600,5,0.028
1583049600,6,0.044
1583049600,9,0.015
1583050500,2,0.024
1583050500,3,0.049
1583050500,5,0.027
1583050500,6,0.043
1583050500,9,0.0
1583051400,2,0.037
1583051400,3,0.048
1583051400,5,0.055
1583051400,6,0.043
1583051400,9,0.029
1583052300,2,0.038
1583052300,3,0.049
1583052300,5,0.038
1583052300,6,0.026
1583052300,9,0.066
1583053200,2,0.023
1583053200,3,0.048
1583053200,5,0.041
1583053200,6,0.002
1583053200,9,0.0
1583054100,2,0.043
1583054100,3,0.049
1583054100,5,0.033
1583054100,6,0.001
1583054100,9,0.02
1583055000,2,0.039
1583055000,3,0.011
1583055000,5,0.002
1583055000,6,0.042
1583055000,9,0.027
1583055900,2,0.037
1583055900,3,0.0
1583055900,5,0.033
1583055900,6,0.026
1583055900,9,0.023
1583056800,2,0.036
1583056800,3,0.0
1583056800,5,0.04
1583056800,6,0.001
1583056800,9,0.035
1583057700,2,0.082
1583057700,3,0.0
1583057700,5,0.007
1583057700,6,0.001
1583057700,9,0.038
1583058600,2,0.031
1583058600,3,0.0
1583058600,5,0.028
1583058600,6,0.002
1583058600,9,0.0
1583059500,2,0.013
1583059500,3,0.0
1583059500,5,0.025
1583059500,6,0.001
1583059500,9,0.0
1583060400,2,0.043
1583060400,3,0.0
1583060400,5,0.03
1583060400,6,0.001
1583060400,9,0.086
1583061300,2,0.025
1583061300,3,0.0
1583061300,5,0.028
1583061300,6,0.001
1583061300,9,0.009
1583062200,2,0.038
1583062200,3,0.0
1583062200,5,0.003
1583062200,6,0.001
1583062200,9,0.0
1583063100,2,0.03
1583063100,3,0.0
1583063100,5,0.044
1583063100,6,0.037
1583063100,9,0.054
1583064000,2,0.021
1583064000,3,0.0
1583064000,5,0.031
1583064000,6,0.056
1583064000,9,0.024
1583064900,2,0.027
1583064900,3,0.0
1583064900,5,0.002
1583064900,6,0.051
1583064900,9,0.061
1583065800,2,0.014
1583065800,3,0.0
1583065800,5,0.04
1583065800,6,0.03
1583065800,9,0.053
1583066700,2,0.035
1583066700,3,0.0
1583066700,5,0.051
1583066700,6,0.005
1583066700,9,0.013
1583067600,2,0.012
1583067600,3,0.0
1583067600,5,0.021
1583067600,6,0.013
1583067600,9,0.001
1583068500,2,0.031
1583068500,3,0.0
1583068500,5,0.043
1583068500,6,0.001
1583068500,9,0.05
1583069400,2,0.018
1583069400,3,0.0
1583069400,5,0.045
1583069400,6,0.001
1583069400,9,0.051
1583070300,2,0.023
1583070300,3,0.0
1583070300,5,0.043
1583070300,6,0.001
1583070300,9,0.001
1583071200,2,0.035
1583071200,3,0.0
1583071200,5,0.061
1583071200,6,0.007
1583071200,9,0.041
1583072100,2,0.024
1583072100,3,0.0
1583072100,5,0.042
1583072100,6,0.064
1583072100,9,0.008
1583073000,2,0.038
1583073000,3,0.0
1583073000,5,0.058
1583073000,6,0.047
1583073000,9,0.033
1583073900,2,0.041
1583073900,3,0.0
1583073900,5,0.075
1583073900,6,0.045
1583073900,9,0.058
1583074800,2,0.065
1583074800,3,0.0
1583074800,5,0.051
1583074800,6,0.044
1583074800,9,0.01
1583075700,2,0.04
1583075700,3,0.0
1583075700,5,0.033
1583075700,6,0.047
1583075700,9,0.001
1583076600,2,0.059
1583076600,3,0.0
1583076600,5,0.071
1583076600,6,0.042
1583076600,9,0.046
1583077500,2,0.07
1583077500,3,0.0
1583077500,5,0.088
1583077500,6,0.016
1583077500,9,0.303
1583078400,2,0.066
1583078400,3,0.0
1583078400,5,0.064
1583078400,6,0.031
1583078400,9,0.264
1583079300,2,0.061
1583079300,3,0.0
1583079300,5,0.055
1583079300,6,0.053
1583079300,9,0.224
1583080200,2,0.044
1583080200,3,0.0
1583080200,5,0.081
1583080200,6,0.045
1583080200,9,0.016
1583081100,2,0.063
1583081100,3,0.0
1583081100,5,0.075
1583081100,6,0.014
1583081100,9,0.055
1583082000,2,0.043
1583082000,3,0.0
1583082000,5,0.057
1583082000,6,0.012
1583082000,9,0.083
1583082900,2,0.061
1583082900,3,0.0
1583082900,5,0.059
1583082900,6,0.013
1583082900,9,0.013
1583083800,2,0.044
1583083800,3,0.0
1583083800,5,0.079
1583083800,6,0.016
1583083800,9,0.03
1583084700,2,0.061
1583084700,3,0.0
1583084700,5,0.072
1583084700,6,0.021
1583084700,9,0.07
1583085600,2,0.042
1583085600,3,0.0
1583085600,5,0.05
1583085600,6,0.051
1583085600,9,0.049
1583086500,2,0.075
1583086500,3,0.0
1583086500,5,0.05
1583086500,6,0.055
1583086500,9,0.033
1583087400,2,0.065
1583087400,3,0.0
1583087400,5,0.081
1583087400,6,0.051
1583087400,9,0.05
1583088300,2,0.089
1583088300,3,0.0
1583088300,5,0.074
1583088300,6,0.051
1583088300,9,0.019
1583089200,2,0.065
1583089200,3,0.0
1583089200,5,0.068
1583089200,6,0.015
1583089200,9,0.097
1583090100,2,0.09
1583090100,3,0.0
1583090100,5,0.081
1583090100,6,0.012
1583090100,9,0.035
1583091000,2,0.065
1583091000,3,0.0
1583091000,5,0.068
1583091000,6,0.018
1583091000,9,0.015
1583091900,2,0.088
1583091900,3,0.0
1583091900,5,0.084
1583091900,6,0.036
1583091900,9,0.06
1583092800,2,0.067
1583092800,3,0.0
1583092800,5,0.068
1583092800,6,0.025
1583092800,9,0.067
1583093700,2,0.09
1583093700,3,0.0
1583093700,5,0.07
1583093700,6,0.304
1583093700,9,0.029
1583094600,2,0.066
1583094600,3,0.0
1583094600,5,0.07
1583094600,6,0.015
1583094600,9,0.067
1583095500,2,0.091
1583095500,3,0.0
1583095500,5,0.056
1583095500,6,0.01
1583095500,9,0.015
1583096400,2,0.089
1583096400,3,0.0
1583096400,5,0.05
1583096400,6,0.046
1583096400,9,0.065
1583097300,2,0.09
1583097300,3,0.0
1583097300,5,0.066
1583097300,6,0.044
1583097300,9,0.075
1583098200,2,0.072
1583098200,3,0.0
1583098200,5,0.071
1583098200,6,0.045
1583098200,9,0.015
1583099100,2,0.088
1583099100,3,0.0
1583099100,5,0.062
1583099100,6,0.052
1583099100,9,0.037
1583100000,2,0.094
1583100000,3,0.0
1583100000,5,0.048
1583100000,6,0.04
1583100000,9,0.071
1583100900,2,0.092
1583100900,3,0.0
1583100900,5,0.051
1583100900,6,0.092
1583100900,9,0.021
1583101800,2,0.091
1583101800,3,0.0
1583101800,5,0.067
1583101800,6,0.067
1583101800,9,0.028
1583102700,2,0.091
1583102700,3,0.026
1583102700,5,0.734
1583102700,6,0.068
1583102700,9,0.024
1583103600,2,0.089
1583103600,3,0.045
1583103600,5,0.076
1583103600,6,0.041
1583103600,9,0.023
1583104500,2,0.25
1583104500,3,0.046
1583104500,5,0.346
1583104500,6,0.024
1583104500,9,0.059
1583105400,2,0.264
1583105400,3,0.045
1583105400,5,0.619
1583105400,6,0.011
1583105400,9,0.024
1583106300,2,0.265
1583106300,3,0.047
1583106300,5,0.055
1583106300,6,0.012
1583106300,9,0.029
1583107200,2,0.243
1583107200,3,0.046
1583107200,5,0.047
1583107200,6,0.049
1583107200,9,0.072
1583108100,2,0.257
1583108100,3,0.047
1583108100,5,0.074
1583108100,6,0.054
1583108100,9,0.057
1583109000,2,0.255
1583109000,3,0.046
1583109000,5,0.078
