datetime,id,value
1596250800,2,0.029
1596250800,3,0.039
1596250800,5,0.017
1596250800,6,0.003
1596250800,9,0.006
1596251700,2,0.016
1596251700,3,0.038
1596251700,5,0.007
1596251700,6,0.001
1596251700,9,0.006
1596252600,2,0.014
1596252600,3,0.039
1596252600,5,0.016
1596252600,6,0.001
1596252600,9,0.032
1596253500,2,0.017
1596253500,3,0.039
1596253500,5,0.009
1596253500,6,0.002
1596253500,9,0.003
1596254400,2,0.008
1596254400,3,0.039
1596254400,5,0.02
1596254400,6,0.001
1596254400,9,0.0
1596255300,2,0.013
1596255300,3,0.039
1596255300,5,0.01
1596255300,6,0.001
1596255300,9,0.021
1596256200,2,0.017
1596256200,3,0.04
1596256200,5,0.019
1596256200,6,0.001
1596256200,9,0.056
1596257100,2,0.006
1596257100,3,0.038
1596257100,5,0.008
1596257100,6,0.001
1596257100,9,0.0
1596258000,2,0.015
1596258000,3,0.039
1596258000,5,0.014
1596258000,6,0.001
1596258000,9,0.0
1596258900,2,0.017
1596258900,3,0.039
1596258900,5,0.01
1596258900,6,0.001
1596258900,9,0.0
1596259800,2,0.004
1596259800,3,0.039
1596259800,5,0.013
1596259800,6,0.0
1596259800,9,0.033
1596260700,2,0.017
1596260700,3,0.039
1596260700,5,0.014
1596260700,6,0.0
1596260700,9,0.0
1596261600,2,0.017
1596261600,3,0.04
1596261600,5,0.013
1596261600,6,0.0
1596261600,9,0.0
1596262500,2,0.004
1596262500,3,0.039
1596262500,5,0.015
1596262500,6,0.0
1596262500,9,0.0
1596263400,2,0.017
1596263400,3,0.039
1596263400,5,0.008
1596263400,6,0.0
1596263400,9,0.063
1596264300,2,0.016
1596264300,3,0.039
1596264300,5,0.028
1596264300,6,0.0
1596264300,9,0.015
1596265200,2,0.004
1596265200,3,0.039
1596265200,5,0.012
1596265200,6,0.0
1596265200,9,0.0
1596266100,2,0.017
1596266100,3,0.04
1596266100,5,0.019
1596266100,6,0.0
1596266100,9,0.0
1596267000,2,0.014
1596267000,3,0.039
1596267000,5,0.008
1596267000,6,0.0
1596267000,9,0.03
1596267900,2,0.007
1596267900,3,0.039
1596267900,5,0.017
1596267900,6,0.0
1596267900,9,0.003
1596268800,2,0.016
1596268800,3,0.04
1596268800,5,0.008
1596268800,6,0.0
1596268800,9,0.0
1596269700,2,0.011
1596269700,3,0.039
1596269700,5,0.022
1596269700,6,0.0
1596269700,9,0.0
1596270600,2,0.01
1596270600,3,0.039
1596270600,5,0.009
1596270600,6,0.0
1596270600,9,0.025
1596271500,2,0.016
1596271500,3,0.04
1596271500,5,0.014
1596271500,6,0.0
1596271500,9,0.039
1596272400,2,0.007
1596272400,3,0.039
1596272400,5,0.012
1596272400,6,0.0
1596272400,9,0.014
1596273300,2,0.014
1596273300,3,0.039
1596273300,5,0.009
1596273300,6,0.0
1596273300,9,0.0
1596274200,2,0.016
1596274200,3,0.039
1596274200,5,0.017
1596274200,6,0.0
1596274200,9,0.016
1596275100,2,0.004
1596275100,3,0.04
1596275100,5,0.008
1596275100,6,0.0
1596275100,9,0.018
1596276000,2,0.016
1596276000,3,0.039
1596276000,5,0.018
1596276000,6,0.001
1596276000,9,0.0
1596276900,2,0.14
1596276900,3,0.039
1596276900,5,0.008
1596276900,6,0.007
1596276900,9,0.0
1596277800,2,0.185
1596277800,3,0.029
1596277800,5,0.039
1596277800,6,0.008
1596277800,9,0.005
1596278700,2,0.194
1596278700,3,0.0
1596278700,5,0.014
1596278700,6,0.004
1596278700,9,0.082
1596279600,2,0.187
1596279600,3,0.0
1596279600,5,0.034
1596279600,6,0.003
1596279600,9,0.505
1596280500,2,0.228
1596280500,3,0.0
1596280500,5,0.036
1596280500,6,0.002
1596280500,9,0.244
1596281400,2,0.191
1596281400,3,0.0
1596281400,5,0.029
1596281400,6,0.0
1596281400,9,0.021
1596282300,2,0.189
1596282300,3,0.0
1596282300,5,0.016
1596282300,6,0.0
1596282300,9,0.016
1596283200,2,0.195
1596283200,3,0.0
1596283200,5,0.012
1596283200,6,0.0
1596283200,9,0.001
1596284100,2,0.2
1596284100,3,0.0
1596284100,5,0.017
1596284100,6,0.0
1596284100,9,0.003
1596285000,2,0.185
1596285000,3,0.0
1596285000,5,0.213
1596285000,6,0.0
1596285000,9,0.136
1596285900,2,0.18
1596285900,3,0.0
1596285900,5,0.772
1596285900,6,0.0
1596285900,9,0.005
1596286800,2,0.017
1596286800,3,0.0
1596286800,5,0.011
1596286800,6,0.0
1596286800,9,0.002
1596287700,2,0.004
1596287700,3,0.0
1596287700,5,0.013
1596287700,6,0.0
1596287700,9,0.018
1596288600,2,0.016
1596288600,3,0.0
1596288600,5,0.018
1596288600,6,0.0
1596288600,9,0.143
1596289500,2,0.014
1596289500,3,0.0
1596289500,5,0.009
1596289500,6,0.0
1596289500,9,0.07
1596290400,2,0.039
1596290400,3,0.0
1596290400,5,0.017
1596290400,6,0.0
1596290400,9,0.0
1596291300,2,0.032
1596291300,3,0.0
1596291300,5,0.008
1596291300,6,0.0
1596291300,9,0.0
1596292200,2,0.043
1596292200,3,0.0
1596292200,5,0.017
1596292200,6,0.0
1596292200,9,0.033
1596293100,2,0.077
1596293100,3,0.0
1596293100,5,0.023
1596293100,6,0.0
1596293100,9,0.0
1596294000,2,0.062
1596294000,3,0.0
1596294000,5,0.027
1596294000,6,0.0
1596294000,9,0.0
1596294900,2,0.041
1596294900,3,0.0
1596294900,5,0.009
1596294900,6,0.0
1596294900,9,0.105
1596295800,2,0.097
1596295800,3,0.0
1596295800,5,0.017
1596295800,6,0.0
1596295800,9,0.062
