datetime,id,value
1585710000,2,0.041
1585710000,3,0.0
1585710000,5,0.069
1585710000,6,0.004
1585710000,9,0.031
1585710900,2,0.026
1585710900,3,0.0
1585710900,5,0.06
1585710900,6,0.004
1585710900,9,0.064
1585711800,2,0.031
1585711800,3,0.0
1585711800,5,0.061
1585711800,6,0.004
1585711800,9,0.05
1585712700,2,0.023
1585712700,3,0.0
1585712700,5,0.083
1585712700,6,0.004
1585712700,9,0.025
1585713600,2,0.011
1585713600,3,0.0
1585713600,5,0.06
1585713600,6,0.004
1585713600,9,0.013
1585714500,2,0.03
1585714500,3,0.0
1585714500,5,0.049
1585714500,6,0.003
1585714500,9,0.032
1585715400,2,0.01
1585715400,3,0.0
1585715400,5,0.018
1585715400,6,0.004
1585715400,9,0.059
1585716300,2,0.023
1585716300,3,0.0
1585716300,5,0.01
1585716300,6,0.004
1585716300,9,0.027
1585717200,2,0.02
1585717200,3,0.0
1585717200,5,0.002
1585717200,6,0.004
1585717200,9,0.012
1585718100,2,0.013
1585718100,3,0.0
1585718100,5,0.033
1585718100,6,0.004
1585718100,9,0.026
1585719000,2,0.029
1585719000,3,0.0
1585719000,5,0.051
1585719000,6,0.004
1585719000,9,0.048
1585719900,2,0.009
1585719900,3,0.0
1585719900,5,0.037
1585719900,6,0.004
1585719900,9,0.042
1585720800,2,0.023
1585720800,3,0.0
1585720800,5,0.027
1585720800,6,0.004
1585720800,9,0.011
1585721700,2,0.019
1585721700,3,0.0
1585721700,5,0.027
1585721700,6,0.004
1585721700,9,0.027
1585722600,2,0.037
1585722600,3,0.0
1585722600,5,0.014
1585722600,6,0.004
1585722600,9,0.027
1585723500,2,0.038
1585723500,3,0.0
1585723500,5,0.023
1585723500,6,0.004
1585723500,9,0.063
1585724400,2,0.024
1585724400,3,0.0
1585724400,5,0.023
1585724400,6,0.004
1585724400,9,0.01
1585725300,2,0.04
1585725300,3,0.0
1585725300,5,0.018
1585725300,6,0.004
1585725300,9,0.028
1585726200,2,0.038
1585726200,3,0.0
1585726200,5,0.029
1585726200,6,0.004
1585726200,9,0.01
1585727100,2,0.036
1585727100,3,0.0
1585727100,5,0.028
1585727100,6,0.003
1585727100,9,0.072
1585728000,2,0.027
1585728000,3,0.0
1585728000,5,0.027
1585728000,6,0.004
1585728000,9,0.016
1585728900,2,0.017
1585728900,3,0.0
1585728900,5,0.051
1585728900,6,0.004
1585728900,9,0.029
1585729800,2,0.029
1585729800,3,0.0
1585729800,5,0.028
1585729800,6,0.006
1585729800,9,0.008
1585730700,2,0.015
1585730700,3,0.0
1585730700,5,0.005
1585730700,6,0.047
1585730700,9,0.052
1585731600,2,0.024
1585731600,3,0.0
1585731600,5,0.001
1585731600,6,0.047
1585731600,9,0.035
1585732500,2,0.019
1585732500,3,0.0
1585732500,5,0.019
1585732500,6,0.045
1585732500,9,0.032
1585733400,2,0.017
1585733400,3,0.0
1585733400,5,0.031
1585733400,6,0.044
1585733400,9,0.017
1585734300,2,0.026
1585734300,3,0.0
1585734300,5,0.051
1585734300,6,0.044
1585734300,9,0.033
1585735200,2,0.008
1585735200,3,0.0
1585735200,5,0.051
1585735200,6,0.043
1585735200,9,0.05
1585736100,2,0.03
1585736100,3,0.0
1585736100,5,0.038
1585736100,6,0.05
1585736100,9,0.037
1585737000,2,0.012
1585737000,3,0.0
1585737000,5,0.002
1585737000,6,0.05
1585737000,9,0.005
1585737900,2,0.02
1585737900,3,0.0
1585737900,5,0.001
1585737900,6,0.019
1585737900,9,0.033
1585738800,2,0.022
1585738800,3,0.0
1585738800,5,0.006
1585738800,6,0.005
1585738800,9,0.024
1585739700,2,0.052
1585739700,3,0.0
1585739700,5,0.052
1585739700,6,0.052
1585739700,9,0.063
1585740600,2,0.027
1585740600,3,0.0
1585740600,5,0.049
1585740600,6,0.044
