datetime,id,value
1588302000,2,0.013
1588302000,3,0.05
1588302000,5,0.051
1588302000,6,0.003
1588302000,9,0.048
1588302900,2,0.017
1588302900,3,0.05
1588302900,5,0.063
1588302900,6,0.004
1588302900,9,0.041
1588303800,2,0.024
1588303800,3,0.05
1588303800,5,0.045
1588303800,6,0.002
1588303800,9,0.048
1588304700,2,0.014
1588304700,3,0.049
1588304700,5,0.054
1588304700,6,0.003
1588304700,9,0.035
1588305600,2,0.015
1588305600,3,0.049
1588305600,5,0.05
1588305600,6,0.004
1588305600,9,0.009
1588306500,2,0.024
1588306500,3,0.049
1588306500,5,0.033
1588306500,6,0.003
1588306500,9,0.056
1588307400,2,0.016
1588307400,3,0.05
1588307400,5,0.052
1588307400,6,0.003
1588307400,9,0.024
1588308300,2,0.013
1588308300,3,0.049
1588308300,5,0.023
1588308300,6,0.003
1588308300,9,0.023
1588309200,2,0.023
1588309200,3,0.048
1588309200,5,0.058
1588309200,6,0.003
1588309200,9,0.008
1588310100,2,0.018
1588310100,3,0.049
1588310100,5,0.023
1588310100,6,0.003
1588310100,9,0.018
1588311000,2,0.011
1588311000,3,0.049
1588311000,5,0.053
1588311000,6,0.003
1588311000,9,0.049
1588311900,2,0.023
1588311900,3,0.05
1588311900,5,0.032
1588311900,6,0.003
1588311900,9,0.034
1588312800,2,0.021
1588312800,3,0.05
1588312800,5,0.043
1588312800,6,0.003
1588312800,9,0.007
1588313700,2,0.008
1588313700,3,0.05
1588313700,5,0.044
1588313700,6,0.003
1588313700,9,0.025
1588314600,2,0.023
1588314600,3,0.05
1588314600,5,0.032
1588314600,6,0.003
1588314600,9,0.024
1588315500,2,0.022
1588315500,3,0.051
1588315500,5,0.049
1588315500,6,0.003
1588315500,9,0.01
1588316400,2,0.009
1588316400,3,0.05
1588316400,5,0.034
1588316400,6,0.003
1588316400,9,0.056
1588317300,2,0.02
1588317300,3,0.05
1588317300,5,0.044
1588317300,6,0.002
1588317300,9,0.025
1588318200,2,0.023
1588318200,3,0.05
1588318200,5,0.041
1588318200,6,0.003
1588318200,9,0.018
1588319100,2,0.01
1588319100,3,0.05
1588319100,5,0.036
1588319100,6,0.003
1588319100,9,0.006
1588320000,2,0.018
1588320000,3,0.049
1588320000,5,0.05
1588320000,6,0.003
1588320000,9,0.025
1588320900,2,0.023
1588320900,3,0.05
1588320900,5,0.026
1588320900,6,0.003
1588320900,9,0.035
1588321800,2,0.012
1588321800,3,0.051
1588321800,5,0.069
1588321800,6,0.003
1588321800,9,0.035
1588322700,2,0.016
1588322700,3,0.051
1588322700,5,0.046
1588322700,6,0.003
1588322700,9,0.019
1588323600,2,0.023
1588323600,3,0.05
1588323600,5,0.041
1588323600,6,0.003
1588323600,9,0.025
1588324500,2,0.013
1588324500,3,0.05
1588324500,5,0.043
1588324500,6,0.003
1588324500,9,0.01
1588325400,2,0.015
1588325400,3,0.049
1588325400,5,0.031
1588325400,6,0.003
1588325400,9,0.014
1588326300,2,0.022
1588326300,3,0.051
1588326300,5,0.051
1588326300,6,0.003
1588326300,9,0.048
1588327200,2,0.016
1588327200,3,0.051
1588327200,5,0.022
1588327200,6,0.003
1588327200,9,0.031
1588328100,2,0.012
1588328100,3,0.048
1588328100,5,0.057
1588328100,6,0.006
1588328100,9,0.012
1588329000,2,0.024
1588329000,3,0.004
1588329000,5,0.025
1588329000,6,0.007
1588329000,9,0.037
1588329900,2,0.02
1588329900,3,0.0
1588329900,5,0.051
1588329900,6,0.006
1588329900,9,0.022
1588330800,2,0.061
1588330800,3,0.0
1588330800,5,0.032
1588330800,6,0.007
1588330800,9,0.009
1588331700,2,0.028
1588331700,3,0.0
1588331700,5,0.05
1588331700,6,0.014
1588331700,9,0.301
1588332600,2,0.015
1588332600,3,0.0
1588332600,5,0.045
1588332600,6,0.01
1588332600,9,0.294
1588333500,2,0.012
1588333500,3,0.0
1588333500,5,0.032
1588333500,6,0.006
1588333500,9,0.261
1588334400,2,0.022
1588334400,3,0.0
1588334400,5,0.053
1588334400,6,0.006
1588334400,9,0.272
1588335300,2,0.012
1588335300,3,0.0
1588335300,5,0.013
1588335300,6,0.038
1588335300,9,0.363
1588336200,2,0.038
1588336200,3,0.0
1588336200,5,0.027
1588336200,6,0.048
1588336200,9,0.029
1588337100,2,0.037
1588337100,3,0.0
1588337100,5,0.021
1588337100,6,0.047
1588337100,9,0.036
1588338000,2,0.023
1588338000,3,0.0
1588338000,5,0.02
1588338000,6,0.046
1588338000,9,0.034
1588338900,2,0.041
1588338900,3,0.0
1588338900,5,0.026
1588338900,6,0.045
1588338900,9,0.129
1588339800,2,0.037
1588339800,3,0.0
1588339800,5,0.012
1588339800,6,0.009
1588339800,9,0.373
1588340700,2,0.031
1588340700,3,0.0
1588340700,5,0.035
1588340700,6,0.004
1588340700,9,0.743
1588341600,2,0.015
1588341600,3,0.0
1588341600,5,0.004
1588341600,6,0.002
1588341600,9,0.534
1588342500,2,0.018
1588342500,3,0.0
1588342500,5,0.037
1588342500,6,0.006
1588342500,9,0.088
1588343400,2,0.026
1588343400,3,0.0
1588343400,5,0.011
1588343400,6,0.003
1588343400,9,0.145
1588344300,2,0.009
1588344300,3,0.0
1588344300,5,0.037
1588344300,6,0.003
1588344300,9,0.021
1588345200,2,0.021
1588345200,3,0.0
1588345200,5,0.045
1588345200,6,0.003
1588345200,9,0.014
1588346100,2,0.022
1588346100,3,0.0
1588346100,5,0.035
1588346100,6,0.002
1588346100,9,0.026
1588347000,2,0.008
1588347000,3,0.0
1588347000,5,0.589
1588347000,6,0.002
1588347000,9,0.032
1588347900,2,0.021
1588347900,3,0.0
1588347900,5,0.722
1588347900,6,0.002
1588347900,9,0.058
1588348800,2,0.021
1588348800,3,0.0
1588348800,5,0.049
1588348800,6,0.002
1588348800,9,0.005
1588349700,2,0.02
1588349700,3,0.0
1588349700,5,0.029
1588349700,6,0.002
1588349700,9,0.026
1588350600,2,0.054
1588350600,3,0.0
1588350600,5,0.021
1588350600,6,0.002
1588350600,9,0.025
1588351500,2,0.044
1588351500,3,0.0
